FIPS,CountyNo,Name,Total,Anglo,Black,Hispanic,Other
423,212,Smith,"209,714","131,381","38,452","36,088","3,793"
425,213,Somervell,"8,490","6,693",61,"1,626",110
427,214,Starr,"60,968","2,475",15,"58,337",141
429,215,Stephens,"9,630","7,334",208,"2,011",77
431,216,Sterling,"1,143",750,13,365,15
433,217,Stonewall,"1,490","1,224",39,209,18
435,218,Sutton,"4,128","1,640",15,"2,459",14
437,219,Swisher,"7,854","4,042",611,"3,149",52
439,220,Tarrant,"1,809,034","952,474","274,476","482,977","99,107"
441,221,Taylor,"131,506","89,274","10,180","29,074","2,978"
443,222,Terrell,984,500,6,467,11
445,223,Terry,"12,651","5,804",580,"6,211",56
447,224,Throckmorton,"1,641","1,462",9,152,18
449,225,Titus,"32,334","15,995","3,091","12,799",449
451,226,Tom Green,"110,224","64,617","4,514","39,315","1,778"
453,227,Travis,"1,024,266","528,115","87,926","342,766","65,459"
455,228,Trinity,"14,585","11,942","1,419","1,117",107
457,229,Tyler,"21,766","17,655","2,446","1,487",178
459,230,Upshur,"39,309","32,646","3,644","2,613",406
461,231,Upton,"3,355","1,630",49,"1,644",32
463,232,Uvalde,"26,405","7,770",117,"18,299",219
465,233,Val Verde,"48,879","8,689",594,"39,199",397
467,234,Van Zandt,"52,579","45,525","1,595","4,847",612
469,235,Victoria,"86,793","41,878","5,522","38,113","1,280"
471,236,Walker,"67,861","40,033","15,461","11,389",978
473,237,Waller,"43,205","19,409","10,811","12,536",449
475,238,Ward,"10,658","4,994",501,"5,074",89
477,239,Washington,"33,718","22,506","6,036","4,641",535
479,240,Webb,"250,304","8,509",523,"239,653","1,619"
481,241,Wharton,"41,280","19,761","5,830","15,445",244
483,242,Wheeler,"5,410","3,896",124,"1,344",46
485,243,Wichita,"131,500","91,267","14,304","21,859","4,070"
487,244,Wilbarger,"13,535","8,702","1,101","3,508",224
489,245,Willacy,"22,134","2,274",397,"19,297",166
491,246,Williamson,"422,679","273,934","27,354","98,034","23,357"
493,247,Wilson,"42,918","25,455",715,"16,412",336
495,248,Winkler,"7,110","3,058",140,"3,824",88
497,249,Wise,"59,127","47,671",693,"10,112",651
499,250,Wood,"41,964","35,909","2,102","3,551",402
501,251,Yoakum,"7,879","3,133",62,"4,622",62
503,252,Young,"18,550","15,090",268,"3,045",147
505,253,Zapata,"14,018",873,11,"13,084",50
507,254,Zavala,"11,677",663,35,"10,961",18
